卷章名,領域,標題,勉勵,經文
23以賽亞書第24章,信仰,天父是萬軍之耶和華，祂要在錫安山作王,你是否曾在全地性的動盪和不確定中，感到一切都在搖動？以賽亞說地被污穢、天空震動——但然後說：「萬軍之耶和華必在錫安山……作王；在敬畏他的長老面前，必有榮耀。」在全地動盪的最深處，天父的王座仍然穩固。你今天最終的盼望，放在那個永遠的王座上。,萬軍之耶和華必在錫安山，並在耶路撒冷作王；在敬畏他的長老面前，必有榮耀。《以賽亞書24:23》
23以賽亞書第25章,信仰,天父要吞滅死亡，擦去各人臉上的眼淚,你是否曾在某個最深的哀傷中，渴望有人把你臉上的眼淚永遠擦去？「他已經吞滅死亡直到永遠。主耶和華必擦去各人臉上的眼淚。」那不是比喻，而是最終的現實。天父在那個應許的筵席上，親手擦去每一滴眼淚，這是終末的盼望，但它今天就是你盼望的根基。,他已經吞滅死亡直到永遠。主耶和華必擦去各人臉上的眼淚。《以賽亞書25:8》
23以賽亞書第26章,禱告,天父保守那堅心倚靠祂的人得十分平安,你是否曾渴望那種深沉的平安，而不只是沒有戰爭的安靜？「堅心倚賴你的，你必保守他十分平安，因為他倚靠你。」那個「十分平安」的希伯來文是「平安的平安」——雙重的完全平安。天父給那個堅心倚靠祂的人，是一種超越環境的深沉平安。你願意以堅心倚靠換取這個平安嗎？,堅心倚賴你的，你必保守他十分平安，因為他倚靠你。《以賽亞書26:3》
23以賽亞書第27章,信仰,天父時刻澆灌、晝夜看守你，免得有人損害你,你是否曾感到信仰生命在某些季節特別容易受到外在的侵害和損傷？「我耶和華是看守葡萄園的；我必時刻澆灌，晝夜看守，免得有人損害。」那個「時刻」、「晝夜」是全天候的看守——不只是你特別求告的時候，而是每時每刻。天父是你生命最忠心的看守者。,我耶和華是看守葡萄園的；我必時刻澆灌，晝夜看守，免得有人損害。《以賽亞書27:3》
23以賽亞書第28章,信仰,天父在錫安放了寶貴的房角石，信靠的人必不著急,你是否曾在周圍的一切都搖動時，感到腳下沒有穩固的地方？「看哪，我在錫安放一塊石頭作為根基……信靠的人必不著急。」那個「不著急」不是冷漠，而是因為站在真正穩固的根基上，不需要慌亂地尋求替代的保障。天父為你預備了那塊根基，那是基督自己。,看哪，我在錫安放一塊石頭作為根基，是試驗過的石頭，是穩固根基，寶貴的房角石；信靠的人必不着急。《以賽亞書28:16》
23以賽亞書第29章,敬拜,天父要你用心親近祂，不只是嘴唇的敬拜,你是否曾在敬拜或靈修時，口說的話和心裡真實的狀態有著距離，只是完成了一個宗教動作？「這百姓親近我，用嘴唇尊敬我，心卻遠離我。」那個「心卻遠離」不一定是故意的，往往是習慣讓敬拜變成了例行。天父要的不只是你的禮拜時間，而是你心真實的轉向和親近。,因為這百姓親近我，用嘴唇尊敬我，心卻遠離我；他們敬畏我，不過是領受人的吩咐。《以賽亞書29:13》
23以賽亞書第30章,信仰,天父等候要施恩給你，等候祂的必有福,你是否曾在等候神的回應時感到漫長，不確定是否值得繼續等候？「耶和華必然等候，要施恩給你……凡等候他的都是有福的！」那個「等候」是雙向的——神也在等候，等候你進入祂要給的那份恩典的時機。天父比你更渴望施恩給你，那個等候裡有祂的心意在。,耶和華必然等候，要施恩給你……凡等候他的都是有福的！《以賽亞書30:18》
23以賽亞書第31章,信仰,天父如母鳥覆雛保護你，呼召你歸向祂,你是否曾在某個充滿威脅的時刻，渴望一種真實的保護，不只是策略，而是被遮蓋的安全感？「雀鳥怎樣搧翅覆雛，萬軍之耶和華也要照樣保護耶路撒冷。」那個「照樣」把神的保護用最溫柔的比喻說出來——遮蓋、護住、不讓傷害進入。天父說：歸向我，我護衛你。,雀鳥怎樣搧翅覆雛，萬軍之耶和華也要照樣保護耶路撒冷。《以賽亞書31:5》
23以賽亞書第32章,服事,天父是你在乾旱之地的河流，疲乏之地的磐石影子,你是否曾在一個靈命特別乾旱、特別疲乏的時期，渴望找到一個真實的遮蔭和滋潤？「有一人像河流在乾旱之地，像大磐石的影子在疲乏之地。」那個「有一人」指向彌賽亞，也指向天父的供應。在你最乾旱的地方，祂就是那條河；在你最疲乏的地方，祂是那塊磐石的影子。,必有一人像避風所和避暴雨的隱密處，又像河流在乾旱之地，像大磐石的影子在疲乏之地。《以賽亞書32:2》
23以賽亞書第33章,信仰,天父呼召你以敬畏祂為至寶，那是最真實的財富,你是否曾問過自己：我最寶貴的財富是什麼？知識、關係、錢財、健康——還是敬畏神？「你一生一世必得安穩，有豐盛的救恩，並智慧和知識；你以敬畏耶和華為至寶。」那個「至寶」超越所有其他的財富，因為那是唯一能讓你「安穩、有救恩、有智慧」的根基。,你一生一世必得安穩，有豐盛的救恩，並智慧和知識；你以敬畏耶和華為至寶。《以賽亞書33:6》
23以賽亞書第34章,信仰,天父的書你要查考宣讀，祂的話無一缺少,你是否曾感到聖經是一本遙遠的古書，與今天的世界脫節？「你們要查考宣讀耶和華的書。這都無一缺少，無一沒有伴偶。」那個「無一缺少」是神對祂話語完整性的宣告。天父的話沒有一句是多餘的，也沒有一句應許是不算數的。去查考，去宣讀，你必找到你需要的。,你們要查考宣讀耶和華的書。這都無一缺少，無一沒有伴偶。《以賽亞書34:16》
23以賽亞書第35章,信仰,天父讓曠野歡喜，沙漠開花，要對膽怯的人說不要懼怕,你是否曾在生命的「曠野」和「乾旱之地」中，感覺一切都枯乾，沒有任何生機？「曠野和乾旱之地必然歡喜；沙漠也必快樂；又像玫瑰開花。」然後：「對膽怯的人說：你們要剛強，不要懼怕。看哪，你們的神必來……拯救你們。」天父的應許是：那個曠野不是終點，而是花開之前。,曠野和乾旱之地必然歡喜；沙漠也必快樂；又像玫瑰開花。……對膽怯的人說：你們要剛強，不要懼怕。《以賽亞書35:1、4》
23以賽亞書第36章,財務,天父是你唯一可仗賴的倚靠，其他的都是壓傷的葦杖,你是否曾把你的安全感建立在某個「看起來很強大」的外在倚靠上，卻在關鍵時刻發現它讓你受傷？「你所倚靠的埃及是那壓傷的葦杖，人若靠這杖，就必刺透他的手。」那個「壓傷的葦杖」是所有試圖取代天父地位的東西的共同命運。天父是唯一在你需要時不會讓你受傷的那一位。,你所倚靠的埃及是那壓傷的葦杖，人若靠這杖，就必刺透他的手。《以賽亞書36:6》
23以賽亞書第37章,禱告,天父等候你把最難的問題展開在祂面前,你是否曾收到一封讓你不知所措的「壞消息」，卻試圖靠自己解決，沒有帶到神面前？希西家把那封嘲諷神的書信「在耶和華面前展開」，然後禱告。他沒有先計劃反制方案，而是先跪下來把問題陳在神面前。天父在等候你把那個你最不知道如何面對的困境，直接鋪展在祂面前。,希西家就上耶和華的殿，將書信在耶和華面前展開。現在求你救我們脫離亞述王的手，使天下萬國都知道惟有你是耶和華。《以賽亞書37:14、20》
23以賽亞書第38章,禱告,天父聽見你的禱告，也看見了你的眼淚,你是否曾在眼淚中禱告，不確定那樣軟弱的禱告是否真的被神看見？希西家痛哭，神說：「我聽見了你的禱告，看見了你的眼淚。」不只是禱告，連眼淚也被看見。天父的回應不只是聆聽，也是看見——看見你眼淚背後的渴望和真實的心。你的眼淚不是軟弱，它是天父最看重的禱告。,我聽見了你的禱告，看見了你的眼淚。《以賽亞書38:5》
23以賽亞書第39章,品格,天父看見你在順境後的驕傲，那往往比苦難更危險,你是否曾在一段危機過去之後，不知不覺地開始展示自己的「擁有」，以為可以建立別人對你的仰慕？希西家在病得醫治、危機過去後，「把所有的財寶都給他們看」，結果為後代帶來了巨大的禍患。天父在你順境後的自誇中，看見了一種比苦難更需要謹慎的危險。,希西家喜歡見使者，就把他的寶庫……所有的財寶都給他們看；希西家沒有一樣不給他們看的。《以賽亞書39:2》
23以賽亞書第40章,信仰,天父像牧人抱著羊羔，慢慢引導那乳養小羊的,你是否曾在一段精疲力竭的旅途中，感到自己走不動了，需要有人停下來等你、抱你？「他必像牧人牧養自己的羊群，用膀臂聚集羊羔抱在懷中，慢慢引導那乳養小羊的。」那個「慢慢引導」是為那些脆弱的、正在奶孩子的、沒辦法快走的人說的。天父的節奏是為你最脆弱的狀態量身定制的。,他必像牧人牧養自己的羊群，用膀臂聚集羊羔抱在懷中，慢慢引導那乳養小羊的。《以賽亞書40:11》
23以賽亞書第41章,信仰,天父說你不要害怕，因為我是你的神，我必幫助你,你是否曾在一個讓你感到渺小、四面受敵的處境中，需要一個真實的宣告讓你站起來？「你不要害怕，因為我與你同在；不要驚惶，因為我是你的神。我必堅固你，我必幫助你；我必用我公義的右手扶持你。」那個「我必」出現了三次——堅固、幫助、扶持。天父的「必」是你最可靠的保證。,你不要害怕，因為我與你同在；不要驚惶，因為我是你的神。我必堅固你，我必幫助你；我必用我公義的右手扶持你。《以賽亞書41:10》
23以賽亞書第42章,敬拜,天父不折斷壓傷的蘆葦，不吹滅將殘的燈火,你是否曾感覺自己是一根「壓傷的蘆葦」——幾乎要斷了，或者像一盞「將殘的燈火」——快要熄滅了？「壓傷的蘆葦，他不折斷；將殘的燈火，他不吹滅。」天父不會因你幾乎要斷了就嫌棄你，不會因你快熄滅了就放棄你。祂對最脆弱的人有最特別的憐憫。你今天是哪一種？,壓傷的蘆葦，他不折斷；將殘的燈火，他不吹滅。他憑真實將公理傳開。《以賽亞書42:3》
23以賽亞書第43章,信仰,天父提你的名召你，說：你是屬我的,你是否曾需要一個關於你是誰的最根本的確認？「我曾提你的名召你，你是屬我的。你從水中經過，我必與你同在……你從火中行過，必不被燒。」那個「你是屬我的」先於一切困難而存在——不是在你過完水和火之後才成為真實，而是在你進入之前就已宣告了。你的身份在天父的宣告裡。,我曾提你的名召你，你是屬我的。《以賽亞書43:1》
23以賽亞書第44章,悔改,天父塗抹你的過犯如厚雲消散，呼召你歸向祂,你是否曾覺得自己的罪記在神的帳上，像一塊難以消除的污點？「我塗抹了你的過犯，像厚雲消散；我塗抹了你的罪惡，如薄雲滅沒。你當歸向我，因我救贖了你。」那個「塗抹」是完整的消除，不是遮蓋，而是像雲散去一樣不再存在。天父已塗抹了，祂在等你「歸向」祂。,我塗抹了你的過犯，像厚雲消散；我塗抹了你的罪惡，如薄雲滅沒。你當歸向我，因我救贖了你。《以賽亞書44:22》
23以賽亞書第45章,信仰,天父邀請地極的人都仰望祂，就必得救,你是否曾以為「救恩」是某個特別的人、特別的民族才夠格領受的？「地極的人都當仰望我，就必得救；因為我是神，再沒有別神。」那個「都當」沒有例外——地的四極，每一個人。天父的救恩是向所有人敞開的，唯一的動作就是「仰望」——轉向那一位，那就夠了。,地極的人都當仰望我，就必得救；因為我是神，再沒有別神。《以賽亞書45:22》
23以賽亞書第46章,信仰,天父自你出胎便懷搋你，到白髮仍要保抱你,你是否曾擔心隨著年齡或衰老，天父的保護和同在會漸漸減少？「你們自從生下，就蒙我保抱，自從出胎，便蒙我懷搋。直到你們年老，我仍這樣；直到你們髮白，我仍懷搋。」從出胎到白髮——一整個人的一生，都在天父的懷搋中。沒有任何年齡段是被跳過的。,直到你們年老，我仍這樣；直到你們髮白，我仍懷搋。《以賽亞書46:4》
23以賽亞書第47章,智慧,天父讓你看清「惟有我」只屬於神，驕傲必致跌落,你是否曾在某種成功或優越感中，開始把「除了我，別無其他」的態度帶進你的心裡？巴比倫說：「惟有我，除我以外再沒有別的」——那個宣告因此帶來了傾覆。「惟有我」只是神的宣告，任何人若僭用，必然跌落。天父的謙卑是你的保護，祂的榮耀不與人共享。,你心中說：惟有我，除我以外再沒有別的。《以賽亞書47:8》
23以賽亞書第48章,信仰,天父在苦難的爐中揀選你，那是愛的精煉不是丟棄,你是否曾在苦難中懷疑：神是要精煉我，還是要丟棄我？「我熬煉你，卻不像熬煉銀子；你在苦難的爐中，我揀選你。」那個「揀選」不是在爐之外，而是「在苦難的爐中」——就在那個最難的地方，天父的揀選仍然有效。那個爐是精煉，不是丟棄的垃圾桶。,我熬煉你，卻不像熬煉銀子；你在苦難的爐中，我揀選你。《以賽亞書48:10》
23以賽亞書第49章,信仰,天父把你銘刻在祂掌上，祂不忘記你,你是否曾有過被神遺忘的感覺，覺得自己渺小到神記不住你？「婦人焉能忘記她喫奶的嬰孩……即或有忘記的，我卻不忘記你。看哪，我將你銘刻在我掌上。」那個「銘刻在掌上」是最個人化的記念方式——不是在書冊裡，而是在祂自己的手掌上。你的名字，永遠在那裡。,我卻不忘記你。看哪，我將你銘刻在我掌上。《以賽亞書49:15-16》
23以賽亞書第50章,品格,天父每早晨提醒你的耳朵，使你能聽祂的聲音,你是否曾感覺神的聲音越來越難聽見？僕人說：「主每早晨提醒，提醒我的耳朵，使我能聽，像受教者一樣。」那個「每早晨」是每一天的重複，「提醒」是神主動地開你的耳朵。天父不是說一次就算了，而是每一天早晨都重新提醒、重新開啟你聽見祂的能力。,主每早晨提醒，提醒我的耳朵，使我能聽，像受教者一樣。《以賽亞書50:4》
23以賽亞書第51章,信仰,天父的救恩永遠長存，天地雖消散祂的公義不廢,你是否曾在世界一切的不確定中，渴望找到一個絕對不會改變的根基？「天必像煙雲消散……地必如此朽殘……惟有我的救恩永遠長存；我的公義也不廢掉。」天地可能改變，天父的救恩和公義卻永遠長存。你今天所倚靠的天父，是宇宙中唯一「不廢掉」的那一位。,天必像煙雲消散……惟有我的救恩永遠長存；我的公義也不廢掉。《以賽亞書51:6》
23以賽亞書第52章,信仰,天父呼召你興起披能力，報佳音的腳登山何等佳美,你是否曾感覺自己陷在某種「為奴」的狀態中，無法自由地發聲和行動？「錫安哪，興起！興起！披上你的能力！」然後：「那報佳音，傳平安，報好信，傳救恩的……這人的腳登山何等佳美！」天父的呼召不只是讓你自由，還要你把那個自由的好消息帶出去，登山傳報。,那報佳音，傳平安，報好信，傳救恩的……這人的腳登山何等佳美！《以賽亞書52:7》
23以賽亞書第53章,禱告,天父讓祂的僕人為你的過犯受傷，讓你得醫治,你是否曾站在十字架前，完全感受那個代替的重量？「哪知他為我們的過犯受害，為我們的罪孽壓傷。因他受的刑罰，我們得平安；因他受的鞭傷，我們得醫治。」那個「他」是天父差來的；那個「我們」就是你。天父沒有讓你獨自承擔那個你本應承受的刑罰，祂讓祂的兒子代替你。,哪知他為我們的過犯受害，為我們的罪孽壓傷。因他受的刑罰，我們得平安；因他受的鞭傷，我們得醫治。《以賽亞書53:5》
23以賽亞書第54章,信仰,天父的慈愛比大山更穩固，必不離開你,你是否曾在某個讓你感到被棄絕的時刻，以為神的慈愛也對你退縮了？「大山可以挪開，小山可以遷移；但我的慈愛必不離開你；我平安的約也不遷移。」大山是人類所知最穩固的東西，但天父的慈愛比大山更穩固。那個「必不離開」是最強烈的承諾，今天它仍然有效。,大山可以挪開，小山可以遷移；但我的慈愛必不離開你；我平安的約也不遷移。《以賽亞書54:10》
23以賽亞書第55章,信仰,天父不用銀錢邀請你來，白白領受祂的恩典,你是否曾覺得自己還沒有準備好、還不夠格來領受神的恩典？「一切乾渴的都當就近水來；沒有銀錢的也可以來。」「不用銀錢，不用價值」——那個「不用」把所有的條件都移除了。天父的邀請是最開放的，唯一需要做的就是「來」。你今天的資格，就是你渴了。,你們一切乾渴的都當就近水來；沒有銀錢的也可以來。你們都來，買了喫；不用銀錢，不用價值。《以賽亞書55:1》
23以賽亞書第56章,服事,天父的殿是萬民禱告的殿，向所有人敞開,你是否曾覺得自己不屬於某個「核心圈子」，好像神的恩典是給某些特定的人保留的？「我的殿必稱為萬民禱告的殿。」那個「萬民」沒有例外——外邦人、太監、各樣的人。天父的殿向所有人敞開，任何一個向祂禱告的人，都在祂的「萬民」之中。你也在其中。,我的殿必稱為萬民禱告的殿。《以賽亞書56:7》
23以賽亞書第57章,信仰,天父住在至高所在，也與心靈痛悔謙卑的人同居,你是否曾覺得神太高太遠，住在天上，與你的卑微相去太遠？「我住在至高至聖的所在，也與心靈痛悔謙卑的人同居；要使謙卑人的靈甦醒，也使痛悔人的心甦醒。」天父同時在最高和最低的地方——高到超越宇宙，也低到在你痛悔謙卑的心中。那個「也」讓一切都改變了。,我住在至高至聖的所在，也與心靈痛悔謙卑的人同居。《以賽亞書57:15》
23以賽亞書第58章,品格,天父所揀選的禁食是鬆開公義的繩，把餅分給飢餓的人,你是否曾把信仰的操練只停留在個人的靈修形式上，而沒有讓它延伸到對社會公義的行動？神說祂所揀選的禁食是「鬆開兇惡的繩……把你的餅分給飢餓的人，將流離的窮人接到你家中」。然後：「你的光就必在黑暗中發現。」天父讓你的光從公義的行動中照出來，不只從宗教形式中。,我所揀選的禁食，不是要鬆開兇惡的繩……把你的餅分給飢餓的人嗎？《以賽亞書58:6-7》
23以賽亞書第59章,信仰,天父親自施行拯救，因為無人代求，祂就親自來,你是否曾感覺沒有人願意為你出頭、為你說話、為你代求？「他見無人拯救，無人代求，甚為詫異，就用自己的膀臂施行拯救。」沒有中間人，天父親自出手。那個「甚為詫異，就用自己的膀臂」說明：神不需要任何人替祂行動，祂可以直接出手。你的處境若沒有人為你代求，天父的膀臂仍然伸著。,他見無人拯救，無人代求……就用自己的膀臂施行拯救。《以賽亞書59:16》
23以賽亞書第60章,智慧,天父呼召你興起發光，因為祂的榮耀在你身上,你是否曾在周圍一片黑暗的時候，感到不確定自己是否還有光可以發出？「興起，發光！因為你的光已經來到！耶和華的榮耀發現照耀你。」那個光不是你製造的，而是天父的榮耀照在你身上。你所要做的是興起——那個光已經在那裡了，你只需要起身，讓它透過你發出。,興起，發光！因為你的光已經來到！耶和華的榮耀發現照耀你。《以賽亞書60:1》
23以賽亞書第61章,服事,天父的靈在你身上，差你傳好消息給謙卑的人,你是否曾在面對某個需要你帶去好消息的處境時，感到自己沒有那個能力？「主耶和華的靈在我身上；因為耶和華用膏膏我，叫我傳好信息給謙卑的人。」那個「用膏膏我」是神的裝備在先，呼召在後。天父不是呼召你靠自己的力量去服事，而是先給你膏抹，再差你去傳。,主耶和華的靈在我身上；因為耶和華用膏膏我，叫我傳好信息給謙卑的人。《以賽亞書61:1》
23以賽亞書第62章,信仰,天父稱你為「我所喜悅的」，這是祂對你身份的重新命名,你是否曾被某個標籤所定義——失敗者、被棄絕的、不夠好的——讓那個標籤影響了你對自己的認識？「你必不再稱為『撇棄的』……你卻要稱為『我所喜悅的』……因為耶和華喜悅你。」那個新名字是天父親自給的。祂重新命名你，從「被棄」到「被喜悅」，那個改變從祂的宣告開始。,你必不再稱為撇棄的……你卻要稱為我所喜悅的……因為耶和華喜悅你。《以賽亞書62:4》
23以賽亞書第63章,信仰,天父在你一切苦難中也同受苦難，祂不是旁觀者,你是否曾在苦難中感到神離得很遠，好像一個冷漠的旁觀者？「他們在一切苦難中，他也同受苦難……他以慈愛和憐憫救贖他們；在古時的日子常保抱他們，懷搋他們。」那個「同受苦難」不是比喻，而是天父最深的同在宣告。你在苦難中，祂在你裡面，不是在你旁邊看著。,他們在一切苦難中，他也同受苦難；……他以慈愛和憐憫救贖他們，在古時的日子常保抱他們，懷搋他們。《以賽亞書63:9》
23以賽亞書第64章,未來,天父是陶匠，你是泥土，祂仍在塑造你,你是否曾在自己的罪惡和不足面前，覺得自己太爛了，連神也不知道能拿你怎麼辦？先知說：「我們都是污穢的……我們的義都像污穢的衣服。」然後說：「耶和華啊，你是我們的父！我們是泥，你是窰匠；我們都是你手的工作。」那個比喻是盼望：你是泥，但天父的手仍然在你身上。,耶和華啊，你是我們的父！我們是泥，你是窰匠；我們都是你手的工作。《以賽亞書64:8》
23以賽亞書第65章,信仰,天父整天伸手招呼你，祂的邀請從未收回,你是否曾懷疑天父是否還在等候你，還是已經放棄了你？「我整天伸手招呼那悖逆的百姓。」那個「整天」是持續的、從未停止的招呼。不是在你狀態好的時候才招呼你，而是整天都在。天父的手向你伸出，不論你現在的狀態如何，那個邀請仍然有效。,我整天伸手招呼那悖逆的百姓；他們隨自己的意念行不善之道。《以賽亞書65:2》
23以賽亞書第66章,信仰,天父所看顧的是虛心痛悔、因祂話而戰兢的人,你是否曾以為要有輝煌的事奉成就才能吸引天父的注意？「但我所看顧的，就是虛心痛悔、因我話而戰兢的人。」那個標準顛覆了人的標準——不是成就多大，而是心是否真實。天父的眼光穿透所有的外在表現，落在那個對祂話語有真實回應的心上。那是你的心嗎？,但我所看顧的，就是虛心痛悔、因我話而戰兢的人。《以賽亞書66:2》
24耶利米書第01章,信仰,天父在你未出生前已認識你、分別你、差遣你,你是否曾覺得自己的生命是偶然的，沒有任何特定的目的或意義？「我未將你造在腹中，我已曉得你；你未出母胎，我已分別你為聖；我已派你作列國的先知。」那三層宣告——曉得、分別、差遣——都在你出生之前已經發生了。天父對你的認識和呼召，比你的存在更早。,我未將你造在腹中，我已曉得你；你未出母胎，我已分別你為聖；我已派你作列國的先知。《耶利米書1:5》
24耶利米書第02章,信仰,天父是活水的泉源，你不需要用破裂的池子代替祂,你是否曾試圖用某個「自己鑿出來」的替代品，來填滿那個只有天父能填滿的渴望？「我的百姓做了兩件惡事，就是離棄我這活水的泉源，為自己鑿出池子，是破裂不能存水的池子。」那個破裂不是偶然的，凡不是天父的，遲早都會破裂。祂是活水泉源，你可以直接來取。,因為我的百姓做了兩件惡事，就是離棄我這活水的泉源，為自己鑿出池子，是破裂不能存水的池子。《耶利米書2:13》
24耶利米書第03章,悔改,天父呼召你：背道的兒女啊，回來吧，我的怒氣已轉消,你是否曾因為多次的失敗和回轉，以為這一次天父不可能再接納你了？「背道的以色列啊，回來吧！我必不怒目看你們；因為我是慈愛的，我必不永遠存怒。」那個「我必不永遠存怒」是天父性情最真實的宣告——祂的怒氣是有限的，祂的慈愛才是永遠的。回來，仍然有效。,背道的以色列啊，回來吧！我必不怒目看你們；因為我是慈愛的，我必不永遠存怒。《耶利米書3:12》
24耶利米書第04章,悔改,天父呼召你先開墾內心的荒地，再撒種改變,你是否曾試圖在心裡「荊棘」還沒有清除的地方，直接撒下新的決心和改變，結果那個改變很快就被荊棘纏住了？「要開墾你們的荒地，不要撒種在荊棘中。」真正的悔改需要先翻土——清除那些長期佔據的舊模式和偏見，然後才是撒種。天父在等候你的「翻土」動作。,要開墾你們的荒地，不要撒種在荊棘中。《耶利米書4:3》
24耶利米書第05章,品格,天父尋找行公義求誠實的人，你可以成為那一個,你是否曾覺得「一個人能改變什麼」，感到個人力量的渺小？神說：「看看有一人行公義求誠實沒有？若有，我就赦免這城。」一個人的公義，可以成為整座城的保護。天父在今天的世代中仍然在尋找那一個行公義、求誠實的人。那個人可以是你——不是為了功績，而是因為真實的信仰。,看看有一人行公義求誠實沒有？若有，我就赦免這城。《耶利米書5:1》
24耶利米書第06章,信仰,天父指引你走古道的善道，在其中你的心必得安息,你是否曾在太多新聲音的包圍下，不確定哪條路是真正帶來生命的路？「你們當訪問古道，哪是善道，便行在其間；這樣，你們心裏必得安息。」那個「古道」不是守舊，而是神所設立的生命之道——那條帶來真實安息的路，即使在今天仍然是那一條。天父的道路帶來的安息是真實的。,你們當訪問古道，哪是善道，便行在其間；這樣，你們心裏必得安息。《耶利米書6:16》
24耶利米書第07章,信仰,天父不接納倚靠宗教外殼、卻行不義的敬拜,你是否曾以為常常去教會、熱心參與宗教活動就是對的，卻在日常行為上沒有改變？「你們不要倚靠虛謊的話，說：這些是耶和華的殿！」然後：「這稱為我名下的殿在你們眼中豈可看為賊窩嗎？我都看見了。」天父看的不是你在聖殿出現的頻率，而是你在其中的實際生命。,這稱為我名下的殿在你們眼中豈可看為賊窩嗎？我都看見了。《耶利米書7:11》
24耶利米書第08章,敬拜,天父讓連候鳥都知道的時令，也讓你認識祂的法則,你是否曾在信仰生活中變得麻木，對神的話語喪失了敏銳的感受？「空中的鸛鳥知道來去的定期……我的百姓卻不知道耶和華的法則。」那個對比很刺人——候鳥按照創造者的設計準確行動，而神的子民卻對神的法則失去了感覺。天父讓你比候鳥更認識祂，而不是更少。,空中的鸛鳥知道來去的定期……我的百姓卻不知道耶和華的法則。《耶利米書8:7》
24耶利米書第09章,信仰,天父讓你不靠智慧、勇力、財物誇口，只靠認識祂,你是否曾把某種優勢——智慧、能力、財富——當作你最深的自豪和依靠？「智慧人不要因他的智慧誇口，勇士不要因他的勇力誇口，財主不要因他的財物誇口。誇口的卻因他有聰明，認識我是耶和華。」天父把所有的誇口都換成了一個：認識祂，才是真正值得誇口的。,誇口的卻因他有聰明，認識我是耶和華。《耶利米書9:24》
24耶利米書第10章,信仰,天父是真神、活神、永遠的王，遠超一切的偶像,你是否曾想過，你生命中有沒有什麼「偶像」——你比對神更倚靠的東西？「惟耶和華是真神，是活神，是永遠的王。」那個宣告的力量不只是說偶像是假的，而是說天父是「活的」、是「永遠的」——那些我們可能倚靠的，都是有限的，都有終結的一天。天父的永遠才是你真正的倚靠。,惟耶和華是真神，是活神，是永遠的王。《耶利米書10:10》
24耶利米書第11章,信仰,天父勝過你所倚靠的一切代替品,你是否也曾在忙碌不安的時刻，習慣性地打開某個App、抓住某段關係，或緊握某項成就，只求讓自己安心？猶大百姓也是如此，他們向自己燒香供奉的神哀求幫助；但先知提醒他們，遭難的時候，這些「神」毫不拯救。任何無法真正托住生命的倚靠，終究會在危機中顯出它的無力。天父邀請你，把心中那些看似可靠的替代品放下，單單轉向那位真正聽見、真正拯救你的神。,那時，猶大城邑的人和耶路撒冷的居民要去哀求他們燒香所供奉的神；只是遭難的時候，這些神毫不拯救他們。《耶利米書11:12》
24耶利米書第12章,信仰,天父讓你帶著困惑的質問來，祂不怒反而更深地引導,你是否曾有過對神的「質問」——惡人為何亨通、義人為何受苦——卻不敢說出口，怕這是不敬虔的？耶利米直接問神：「惡人的道路為何亨通？」神沒有責備他，而是用更深的問題帶領他繼續前行。天父在你誠實的質問中，不會因此疏遠你，而是帶你進入更深的認識。,耶和華啊，我與你爭辯的時候，你顯為義；但有一件，我還要與你理論：惡人的道路為何亨通呢？《耶利米書12:1》
24耶利米書第13章,信仰,天父設計你緊貼祂讓祂得名聲，你的生命是祂的榮耀,你是否曾以為信仰只是「完成義務」，而不是天父的一個更深的設計？神說「好叫他們屬我為子民，使我得名聲，得頌讚，得榮耀」——你的生命是天父在世界上的見證。你的快樂、你的行事方式、你的待人態度，都是讓世界看見天父的機會。你今天的生命，在榮耀祂嗎？,耶和華說：不要驕傲，因為耶和華已經說了。《耶利米書13:15》
24耶利米書第14章,禱告,天父因祂名的緣故垂聽你即使在多次背道後的呼求,你是否曾因自己的多次背道而失去了向神呼求的勇氣，覺得「這次我沒有資格再求」？「耶和華啊，我們的罪孽雖然作見證告我們，還求你為你名的緣故行事。」那個轉折是關鍵——不是「因為我夠好」，而是「因你名的緣故」。天父的名是你禱告最可靠的根基，即使在背道之後。,耶和華啊，我們的罪孽雖然作見證告我們，還求你為你名的緣故行事。《耶利米書14:7》
24耶利米書第15章,信仰,天父的言語是你心中的歡喜快樂，即使四圍是孤單,你是否曾在一段孤立和壓力中，感到沒有什麼可以支撐自己繼續前行？「我得着你的言語，就當食物吃了；你的言語是我心中的歡喜快樂，因我是稱為你名下的人。」那個吃下去的話語，不只是知識，而是支撐生命的食物。天父的話語在你最孤單的時候，就是你的喜樂。,我得着你的言語，就當食物吃了；你的言語是我心中的歡喜快樂，因我是稱為你名下的人。《耶利米書15:16》
24耶利米書第16章,信仰,天父是你苦難之日的避難所，列國終將歸向祂,你是否曾在某個特別艱難的日子，感到不知道要往哪裡躲、哪裡尋找庇護？「耶和華啊，你是我的力量，是我的保障；在苦難之日是我的避難所。」那個「在苦難之日」很精確——不是在平靜的日子才成為避難所，而是在苦難的那一天，天父就是那個可以躲進去的地方。,耶和華啊，你是我的力量，是我的保障；在苦難之日是我的避難所。《耶利米書16:19》
